utc,fixture_id,home,away,pick,ev,p_pick,total_line,context_flag,source,reasoning,result,reviewed,modal,favorite_pick,devig_h,devig_d,devig_a,m_h,m_d,m_a,points_actual,points_b1,points_b2,brier_model,brier_market,entered_pick,pts_entered
2026-06-18T16:00:00Z,66ebb9e3f949caded535d97ce686ca09,Czech Republic,South Africa,1-0,3.044,0.1269,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-16T15-59-46Z, fetched 2026-06-16T15-59-45Z)",[BASELINE-Jun16] guard=clean. NEW MD2 fixture (one-call Tue->Fri-German fetch; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; refresh ~10-min pre-KO. EV==modal.,1-1,2026-06-19T07:19:09Z,1-0,1-0,0.562984,0.249723,0.187293,0.562984,0.255695,0.181321,1,1,1,0.903818,0.914945,2-1,1
2026-06-18T19:00:00Z,289bc2e9f5adad8ae4d9a75a7c5461ad,Switzerland,Bosnia & Herzegovina,1-0,3.256,0.1325,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-16T15-59-46Z, fetched 2026-06-16T15-59-45Z)",[BASELINE-Jun16] guard=clean. NEW MD2 fixture (one-call Tue->Fri-German fetch; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; refresh ~10-min pre-KO. EV==modal.,4-1,2026-06-19T07:19:10Z,1-0,1-0,0.619818,0.230952,0.149230,0.619818,0.236755,0.143427,3,3,3,0.221163,0.220147,2-1,4
2026-06-18T22:00:00Z,fa9502285b257b03e62968d50d9229fc,Canada,Qatar,2-0,3.822,0.1491,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-16T15-59-46Z, fetched 2026-06-16T15-59-45Z)",[BASELINE-Jun16] guard=clean. NEW MD2 fixture (one-call Tue->Fri-German fetch; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; refresh ~10-min pre-KO. EV==modal.,6-0,2026-06-19T07:19:11Z,2-0,1-0,0.778454,0.152042,0.069505,0.778454,0.159107,0.062439,4,4,4,0.078296,0.077030,2-0,4
2026-06-19T01:00:00Z,0f2aeae6ac8e77223848d23a4ca86b0d,Mexico,South Korea,1-0,2.760,0.1258,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-16T15-59-46Z, fetched 2026-06-16T15-59-45Z)",[BASELINE-Jun16] guard=clean. NEW MD2 fixture (one-call Tue->Fri-German fetch; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; refresh ~10-min pre-KO. EV 1-0 DIVERGES from modal 1-1.,1-0,2026-06-19T07:19:12Z,1-1,1-0,0.472876,0.295189,0.231934,0.472876,0.285158,0.241966,9,9,1,0.417722,0.418790,2-1,4
2026-06-19T19:00:00Z,065b3573e875f8d23803357f73e5b99e,USA,Australia,1-0,3.112,0.1202,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-16T15-59-46Z, fetched 2026-06-16T15-59-45Z)",[BASELINE-Jun16] guard=clean. NEW MD2 fixture (one-call Tue->Fri-German fetch; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; refresh ~10-min pre-KO. EV==modal.,,,1-0,1-0,0.599318,0.224382,0.176300,0.599318,0.238399,0.162283,,,,,,,
2026-06-19T22:00:00Z,4cd769aa7bae0ad9762bd69b80ef2903,Scotland,Morocco,0-1,3.100,0.1305,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-19T22:00:00Z (10-min pre-KO lock). EV==modal.,,,0-1,0-1,0.172677,0.264930,0.562393,0.172677,0.254077,0.573245,,,,,,,
2026-06-20T00:30:00Z,ef0f74a991d3e35798ae5af77667bce1,Brazil,Haiti,2-0,3.935,0.1216,3.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-20T00:30:00Z (10-min pre-KO lock). EV 2-0 DIVERGES from modal 3-0.,,,3-0,1-0,0.867166,0.091202,0.041632,0.867166,0.097479,0.035355,,,,,,,
2026-06-20T03:00:00Z,f955d4b3395ce6e3b5ac1031ca52ca4e,Turkey,Paraguay,1-0,2.683,0.1063,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-20T03:00:00Z (10-min pre-KO lock). EV 1-0 DIVERGES from modal 1-1.,,,1-1,1-0,0.489163,0.278341,0.232496,0.489163,0.265595,0.245242,,,,,,,
2026-06-20T17:00:00Z,4f0c518545b0096c68326daf25bffc1e,Netherlands,Sweden,1-0,2.828,0.1006,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-20T17:00:00Z (10-min pre-KO lock). EV 1-0 DIVERGES from modal 1-1.,,,1-1,1-0,0.549202,0.252232,0.198566,0.549202,0.244100,0.206698,,,,,,,
2026-06-20T20:00:00Z,f1ab0f69832972a329243522ceaa7804,Germany,Ivory Coast,2-0,3.041,0.1015,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-20T20:00:00Z (10-min pre-KO lock). EV==modal.,,,2-0,1-0,0.637037,0.207407,0.155556,0.637037,0.209724,0.153239,,,,,,,
2026-06-21T00:00:00Z,681895f294b670b4c7b14495dfb583bc,Ecuador,Curaçao,2-0,4.131,0.1512,3.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-21T00:00:00Z (10-min pre-KO lock). EV==modal.,,,2-0,1-0,0.864793,0.094235,0.040972,0.864793,0.104901,0.030306,,,,,,,
2026-06-21T04:00:00Z,dfc5202cf1b8ae002cf952cd04f235b9,Tunisia,Japan,0-1,3.278,0.1304,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-21T04:00:00Z (10-min pre-KO lock). EV==modal.,,,0-1,0-1,0.137865,0.226972,0.635163,0.137865,0.231000,0.631135,,,,,,,
2026-06-21T16:00:00Z,73529a242e319a86bf3d00ddb4accc37,Spain,Saudi Arabia,2-0,4.208,0.1520,3.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-21T16:00:00Z (10-min pre-KO lock). EV==modal.,,,2-0,1-0,0.884037,0.087851,0.028112,0.884037,0.092158,0.023805,,,,,,,
2026-06-21T19:00:00Z,5f92f257386ec5bf7c6e2498a21f3a61,Belgium,Iran,1-0,3.331,0.1209,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-21T19:00:00Z (10-min pre-KO lock). EV 1-0 DIVERGES from modal 2-0.,,,2-0,1-0,0.668583,0.205355,0.126062,0.668583,0.210574,0.120843,,,,,,,
2026-06-21T22:00:00Z,852a3abe6d46820720febc0fedebff9a,Uruguay,Cape Verde,1-0,3.445,0.1442,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-21T22:00:00Z (10-min pre-KO lock). EV==modal.,,,1-0,1-0,0.655965,0.225597,0.118438,0.655965,0.226683,0.117351,,,,,,,
2026-06-22T01:00:00Z,c1ec9a65f4b4cf74477b368a7d6282de,New Zealand,Egypt,0-1,3.103,0.1268,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-22T01:00:00Z (10-min pre-KO lock). EV==modal.,,,0-1,0-1,0.169295,0.235727,0.594978,0.169295,0.248579,0.582125,,,,,,,
2026-06-22T17:00:00Z,be6c63f416c67bca1300a98f5b89c3af,Argentina,Austria,1-0,3.106,0.1193,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-22T17:00:00Z (10-min pre-KO lock). EV==modal.,,,1-0,1-0,0.599299,0.245327,0.155374,0.599299,0.237877,0.162824,,,,,,,
2026-06-22T21:00:00Z,7ad7a0ce2ef2618bb59b066da5642f70,France,Iraq,2-0,4.031,0.1338,3.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-22T21:00:00Z (10-min pre-KO lock). EV==modal.,,,2-0,1-0,0.869914,0.093951,0.036135,0.869914,0.098135,0.031951,,,,,,,
2026-06-23T00:00:00Z,3f48473742ca0fd2a85930554720c75e,Norway,Senegal,1-0,2.338,0.0913,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-23T00:00:00Z (10-min pre-KO lock). EV 1-0 DIVERGES from modal 1-1.,,,1-1,1-0,0.408356,0.277222,0.314421,0.408356,0.272163,0.319481,,,,,,,
2026-06-23T03:00:00Z,fd8533b650e655030f6a7946f8795db2,Jordan,Algeria,0-1,3.130,0.1184,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-23T03:00:00Z (10-min pre-KO lock). EV==modal.,,,0-1,0-1,0.157275,0.231114,0.611611,0.157275,0.233763,0.608962,,,,,,,
2026-06-23T17:00:00Z,8ba93d190f1f934e33862a97a6353a6e,Portugal,Uzbekistan,2-0,3.918,0.1463,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-23T17:00:00Z (10-min pre-KO lock). EV==modal.,,,2-0,1-0,0.813108,0.135069,0.051824,0.813108,0.136734,0.050158,,,,,,,
2026-06-23T20:00:00Z,2f49dd8deae3079dc4eb2d634d18a99c,England,Ghana,2-0,3.736,0.1377,2.5,['neutral'],"The Odds API (snapshot md1_2026-06-19T07-21-12Z, fetched 2026-06-19T07-21-10Z)",[BASELINE-Jun19] guard=clean. NEW MD2 fixture (one-call all-remaining-MD2 fetch --win-hi 2026-06-24T06:00:00Z; F27 diff vs decisions.csv). BASELINE - pending Sebas entry; enter before 2026-06-23T20:00:00Z (10-min pre-KO lock). EV==modal.,,,2-0,1-0,0.775778,0.152612,0.071610,0.775778,0.156359,0.067863,,,,,,,
